date,realized,fhs_var,fhs_exc,hs_var,hs_exc,normal_var,normal_exc
2017-06-19,0.8312583206893995,1.309675989497677,0,2.1835772698162375,0,1.775720746719214,0
2017-06-20,-0.6719160446931665,1.294384546344473,0,2.1835772698162375,0,1.7758149999148942,0
2017-06-21,-0.05828141932715965,1.1074943899096135,0,2.1835772698162375,0,1.775151496949023,0
2017-06-22,-0.04558859724380852,1.498699368316185,0,2.1835772698162375,0,1.776752971919599,0
2017-06-23,0.15596985554090975,1.4842881252114706,0,2.1835772698162375,0,1.7767578451426116,0
2017-06-26,0.031575193973236125,1.4735735449454044,0,2.1835772698162375,0,1.7768944558742248,0
2017-06-27,-0.8105586575672906,1.432151642028101,0,2.1835772698162375,0,1.776358064212705,0
2017-06-28,0.8769501646551084,1.401545557521364,0,2.1835772698162375,0,1.7765012208828443,0
2017-06-29,-0.8637216844141349,1.840876826946289,0,2.1835772698162375,0,1.7784156664483952,0
2017-06-30,0.15320576108735331,1.5995468133377122,0,2.1835772698162375,0,1.7786040363154698,0
2017-07-03,0.23081679791475807,2.033274649805466,0,2.1835772698162375,0,1.7794737054863268,0
2017-07-05,0.14522240362887007,1.9106694282259225,0,2.1835772698162375,0,1.7795390071650226,0
2017-07-06,-0.9412987306866183,1.7873969625197166,0,2.1835772698162375,0,1.779486667531727,0
2017-07-07,0.6382712569615802,1.6995210874210067,0,2.1835772698162375,0,1.7787384149570873,0
2017-07-10,0.09273361035125655,2.1658589418278553,0,2.1835772698162375,0,1.7812964938066755,0
2017-07-11,-0.07829870660821735,1.9368738443549884,0,2.1835772698162375,0,1.7813771358580137,0
2017-07-12,0.7279050947821435,1.8384877958890093,0,2.1835772698162375,0,1.781426859593666,0
2017-07-13,0.1872829473473065,1.8061491992623038,0,2.1835772698162375,0,1.7816860678088413,0
2017-07-14,0.4662616170009233,1.6041052521065953,0,2.1835772698162375,0,1.7814124093621604,0
2017-07-17,-0.005291423670686425,1.5220033486949776,0,2.1835772698162375,0,1.7806155391267378,0
2017-07-18,0.059767869811098745,1.3879044376215461,0,2.1835772698162375,0,1.780607874572074,0
2017-07-19,0.535825821605345,1.3611064324432396,0,2.1835772698162375,0,1.780695620696237,0
2017-07-20,-0.015367108860704477,1.3209495656872319,0,2.1835772698162375,0,1.7800094582563541,0
2017-07-21,-0.03679393292088825,1.1911816291816584,0,2.1835772698162375,0,1.7798801041755672,0
2017-07-24,-0.10643009954088047,1.1817067821353027,0,2.1835772698162375,0,1.7798821010827972,0
2017-07-25,0.2918907519898033,1.1811801710830696,0,2.1835772698162375,0,1.7789962111895816,0
2017-07-26,0.028262400611947947,1.2170791987939065,0,2.1835772698162375,0,1.7792731514304438,0
2017-07-27,-0.09731616373937137,1.1403523690227761,0,2.1835772698162375,0,1.778878960096722,0
2017-07-28,-0.13420156781160386,1.1170393703566732,0,2.1835772698162375,0,1.7777191297634993,0
2017-07-31,-0.07284108345598019,1.1521038732096922,0,2.1835772698162375,0,1.7772001453496107,0
2017-08-01,0.2446120774938466,1.2020547191955342,0,2.1835772698162375,0,1.7775835845952315,0
2017-08-02,0.04925274073474498,1.2147344773750117,0,2.1835772698162375,0,1.7770837629619431,0
2017-08-03,-0.21860418349456703,1.1407808210167043,0,2.1835772698162375,0,1.7767523396588454,0
2017-08-04,0.18873214175395683,1.1028257872467824,0,2.1835772698162375,0,1.776895174633153,0
2017-08-07,0.16458446442804672,1.2021715096457166,0,2.1835772698162375,0,1.7762298224714508,0
2017-08-08,-0.2417352230385335,1.130449796167544,0,2.1835772698162375,0,1.7713741372594316,0
2017-08-09,-0.03636747927123762,1.0711144585959869,0,2.1835772698162375,0,1.7706956365384505,0
2017-08-10,-1.458021840074153,1.181679764433083,1,2.1835772698162375,0,1.7698666609131344,0
2017-08-11,0.12747571279871367,1.1701150052970826,0,2.1835772698162375,0,1.7701195023673204,0
2017-08-14,0.9993651246049404,2.237301840545166,0,2.1835772698162375,0,1.773778471065736,0
2017-08-15,-0.049893232688349,2.078751651944689,0,2.1835772698162375,0,1.7735183452171301,0
2017-08-16,0.14190955233323715,1.811256045500426,0,2.1835772698162375,0,1.7741026171670773,0
2017-08-17,-1.5557342487191417,1.7502418947112242,0,2.1835772698162375,0,1.773464773361086,0
2017-08-18,-0.18370536613519936,1.6054844715520726,0,2.1835772698162375,0,1.7677120679482716,0
2017-08-21,0.11619757145661966,2.592536242964415,0,2.1835772698162375,0,1.7732714441681898,0
2017-08-22,0.9891695260625077,2.4819478247676767,0,2.1835772698162375,0,1.7736890002796788,0
2017-08-23,-0.3459570132639007,2.256451323991124,0,2.1835772698162375,0,1.7730728072703685,0
2017-08-24,-0.20766167471384417,1.9968135720113493,0,2.1835772698162375,0,1.7736343208501786,0
2017-08-25,0.16714716689374215,2.090809413612587,0,2.1835772698162375,0,1.7741281751349114,0
2017-08-28,0.04869534732960745,2.0871798648711195,0,2.1835772698162375,0,1.774537550567161,0
2017-08-29,0.08424667620097917,1.9419224786558609,0,2.1835772698162375,0,1.774398765030062,0
2017-08-30,0.46045317880610437,1.8528673683562729,0,2.1835772698162375,0,1.7739792345847296,0
2017-08-31,0.5704673584713544,1.7558629991701054,0,2.1835772698162375,0,1.7739095250456725,0
2017-09-01,0.1980578042335197,1.5966203031211734,0,2.1835772698162375,0,1.7739145677178532,0
2017-09-05,-0.7579458552144929,1.4336800381348302,0,2.1835772698162375,0,1.7732174692309255,0
2017-09-06,0.31238424931441333,1.3462845800497731,0,2.1835772698162375,0,1.7732476551357432,0
2017-09-07,-0.017845204485370907,1.7796904906183542,0,2.1835772698162375,0,1.7750996394543865,0
2017-09-08,-0.1489960143457705,1.6405952540839168,0,2.1835772698162375,0,1.7751011998448782,0
2017-09-11,1.0780975197147025,1.583824024636133,0,2.1835772698162375,0,1.774271914288309,0
2017-09-12,0.3358302594883113,1.60181492635253,0,2.1835772698162375,0,1.7742149553802826,0
2017-09-13,0.07568342480825294,1.365807671142931,0,2.1835772698162375,0,1.773169226735974,0
2017-09-14,-0.11013238508279735,1.2660116411442799,0,2.1835772698162375,0,1.772102471084669,0
2017-09-15,0.1845477546159349,1.2194658612146676,0,2.1835772698162375,0,1.7716354576190212,0
2017-09-18,0.14548619291293302,1.2547153744444746,0,2.1835772698162375,0,1.771357782579626,0
2017-09-19,0.11095796167313857,1.185616701113733,0,2.1835772698162375,0,1.771409923126527,0
2017-09-20,0.0634146702309437,1.1311964587678223,0,2.1835772698162375,0,1.7705739999050145,0
2017-09-21,-0.3050565946914834,1.0837521017284912,0,2.1835772698162375,0,1.7692444889692458,0
2017-09-22,0.06475839951670206,1.0516545254105345,0,2.1835772698162375,0,1.7691201733064699,0
2017-09-25,-0.22245226998538567,1.215299152367223,0,2.1835772698162375,0,1.7695191653270124,0
2017-09-26,0.007216412589487934,1.1711482462613931,0,2.1835772698162375,0,1.7672254265490634,0
2017-09-27,0.40768224019879246,1.2764173656104196,0,2.1835772698162375,0,1.7675938250945784,0
2017-09-28,0.12038906289380277,1.2305586143484826,0,2.1835772698162375,0,1.7655359889642464,0
2017-09-29,0.3698263068498826,1.0869689942755907,0,2.1835772698162375,0,1.7616240042095064,0
2017-10-02,0.3866518829712313,1.0552406728716186,0,2.1835772698162375,0,1.7615699531400477,0
2017-10-03,0.21565111846609192,0.9902037075517842,0,2.1835772698162375,0,1.7567659957779762,0
2017-10-04,0.12459436611136386,0.9190813617301432,0,2.1835772698162375,0,1.7566679940757557,0
2017-10-05,0.563090403129274,0.8714375419296386,0,2.1835772698162375,0,1.7567024687967343,0
2017-10-06,-0.10742111652397249,0.8387718014316332,0,2.1835772698162375,0,1.755034408765671,0
2017-10-09,-0.18060638680135568,0.7590098145315534,0,2.1835772698162375,0,1.7535733215293532,0
2017-10-10,0.23197196304780643,0.8283815875877434,0,2.1835772698162375,0,1.7537795358673463,0
2017-10-11,0.1801882929663564,0.935948513064621,0,2.1835772698162375,0,1.75411436917922,0
2017-10-12,-0.16881771203513884,0.8702431462770273,0,2.1835772698162375,0,1.7539472784783747,0
2017-10-13,0.08777220048463043,0.8293586444801424,0,2.1835772698162375,0,1.7539382408130793,0
2017-10-16,0.1749222532305753,0.9467214386187344,0,2.1835772698162375,0,1.7533026782525374,0
2017-10-17,0.0672352905433993,0.8962326654488405,0,2.1835772698162375,0,1.7534189630759436,0
